recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Mexican-style 0% Greek Yogurt with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,479,487,2,34.3,37.4,46.9,48.8,16.9,17.6,""
"Mediterranean Seitan with Bulgur Wheat & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,795,683,-14,68,68.9,86.8,66.8,17.4,17.4,""
"Teriyaki Mackerel with Bulgur Wheat & Courgette","20260702000001_seed_owner_meals.sql",apply,2,831,865,4,55.8,57.8,55.5,60.8,43.6,46.1,""
"BBQ Turkey Breast with Rye Bread & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,687,634,-8,78.1,66.8,49.5,50.4,18.3,18.7,""
"Garlic & chilli Tempeh with Bulgur Wheat & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,717,723,1,49.6,55.2,70.3,69.5,31.7,32,""
"Lemon herb Cooked Lentils with Wholegrain Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,672,626,-7,35.8,36.5,96,89,16.9,16.4,""
"Lemon herb Black Beans with White Basmati Rice & Courgette","20260702000001_seed_owner_meals.sql",apply,2,680,696,2,26.6,27.6,119.3,126.6,8.9,9.2,""
"Mediterranean Haddock Fillet with Soba Noodles & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,639,587,-8,62.7,55.9,61.8,62.7,15.6,15.3,""
"Mexican-style Chicken Breast with White Basmati Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,812,848,4,79.2,82.2,77,87.7,16.4,17.2,""
"Lemon herb Turkey Breast with Sweet Potato & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,603,565,-6,71.3,61.5,55,58.9,8.8,8.9,""
"Indian-spiced Firm Tofu with Wholewheat Tortilla Wrap & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,769,674,-12,52.4,51.3,58.7,43.8,39.1,37.6,""
"Moroccan-spiced Firm Tofu with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,620,625,1,49.7,51.9,38.7,43.1,31.6,31.2,""
"Lemon herb Tempeh with White Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,787,784,-0,53.1,57.5,71.3,68.8,37,37.1,""
"Garlic & chilli Lamb Leg with Wholewheat Pasta & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,859,972,13,69.9,72.9,78.7,90.4,34.6,38,""
"BBQ Pork Tenderloin with Rye Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,688,670,-3,67.8,67.8,51.2,49.1,22.2,22.4,""
"Indian-spiced Pork Tenderloin with White Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,654,656,0,66.5,69,57,57.8,15.7,16.2,""
"Peri-peri Turkey Breast with Bulgur Wheat & Kale","20260702000001_seed_owner_meals.sql",apply,2,630,597,-5,77.8,69.1,50.8,53.5,12.1,13.6,""
"Cajun Chicken Breast with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,754,766,2,82.7,85.6,57.5,60.9,17.9,18.5,""
"Mexican-style Haddock Fillet with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,605,549,-9,56.5,47.7,59,59,14.1,14.6,""
"Moroccan-spiced Egg Whites with Rolled Oats & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,379,390,3,30.2,32.3,35.5,40.2,10.9,11.1,""
"Italian herb Tuna Steak with Wholewheat Pasta & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,687,718,5,77.1,69.2,71.5,82.7,12.6,12.1,""
"Moroccan-spiced Salmon Fillet with White Basmati Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,851,877,3,65.3,57.2,67.5,76.2,34.6,35,""
"Moroccan-spiced 0% Greek Yogurt with Brown Rice & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,582,609,5,34.8,37.9,74.4,83.4,15.6,16,""
"Garlic & chilli Egg Whites with Couscous & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,566,567,0,40,41.7,68,68.9,13.4,13.7,""
"BBQ Tuna Steak with Soba Noodles & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,625,574,-8,76.1,68.3,56.5,57.5,10.6,8.7,""
"Peri-peri 0% Greek Yogurt with Wholewheat Pasta & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,531,616,16,38.8,42.9,80.4,92.7,8.9,10,""
"Moroccan-spiced Egg Whites with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,418,423,1,36.5,37.8,35.9,39.5,12.2,12.5,""
"Mediterranean Salmon Fillet with Rolled Oats & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,805,805,0,66.3,57.9,39.5,40.8,44.6,44.8,""
"Garlic & chilli Cottage Cheese with Wholewheat Tortilla Wrap & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,664,549,-17,38.5,36,61.7,51.9,28.7,22.9,""
"Mediterranean Tuna Steak with Couscous & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,744,692,-7,77.6,68.5,66.8,68,16.9,15.4,""
"BBQ Turkey Breast with White Basmati Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,772,738,-4,76.8,65.8,71.5,78.8,16.6,16.7,""
"Indian-spiced Whole Eggs with Rye Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,708,677,-4,41.9,40.1,56.9,57.3,34.5,32,""
"Mediterranean Chicken Breast with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,729,751,3,77.5,78.5,51.8,58.7,21.7,22,""
"Moroccan-spiced Seitan with Wholegrain Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,838,680,-19,72,73.9,82.3,52.1,20.4,19.5,""
"Mediterranean Haddock Fillet with Brown Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,644,628,-2,57,49.6,72,83.2,11.3,11.7,""
"Mediterranean Pork Tenderloin with White Basmati Rice & Peas","20260702000001_seed_owner_meals.sql",apply,2,791,875,11,68.2,73.8,71.8,90.6,22,22.4,""
"Asian-inspired Cooked Chickpeas with Bulgur Wheat & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,740,807,9,33.8,35.4,114.9,121.8,18.7,24,""
"Garlic & chilli Paneer with White Basmati Rice & Peas","20260702000001_seed_owner_meals.sql",apply,2,1032,1188,15,50.6,60.8,79.6,104,56.9,57.3,""
"Cajun Firm Tofu with Butter Beans & Peas","20260702000001_seed_owner_meals.sql",apply,2,638,667,5,58.4,58.8,51.9,59.5,26.3,25.6,""
"Italian herb Whole Eggs with White Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,703,676,-4,38.9,41,54.4,53.2,37,34.1,""
"Asian-inspired King Prawns with White Basmati Rice & Courgette","20260702000001_seed_owner_meals.sql",apply,2,611,647,6,63.1,56.4,67.9,74.7,6.7,12.6,""
"Teriyaki Chicken Breast with Wholewheat Pasta & Carrots","20260702000001_seed_owner_meals.sql",apply,2,448,541,21,48.8,50.9,31.3,46.6,13.7,16.3,""
"BBQ Pork Tenderloin with Rolled Oats & Courgette","20260702000001_seed_owner_meals.sql",apply,2,329,321,-2,33.6,34.9,16,15.1,12.6,12.9,""
"Lemon herb Lamb Leg with Bulgur Wheat & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,476,506,6,38.1,39.2,27.9,34.2,24.5,25.8,""
"BBQ Cooked Lentils with Rye Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,397,511,29,19.7,25.1,49.5,71.8,14,15.7,""
"BBQ Whole Eggs with Butter Beans & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,369,337,-9,26.1,25.7,23.3,20.7,19,17,""
"Moroccan-spiced Egg Whites with Butter Beans & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,307,300,-2,21.8,20.8,29,30.2,12.7,12.8,""
"Asian-inspired Mackerel with White Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,470,532,13,29.1,32.7,31.5,32.5,24.5,31.4,""
"BBQ Edamame with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,416,409,-2,24.4,26.7,42,40.6,18.8,19,""
"Asian-inspired Edamame with Couscous & Carrots","20260702000001_seed_owner_meals.sql",apply,2,431,499,16,21.3,24,44.3,49.1,19.7,25.3,""
"Teriyaki Egg Whites with Wholewheat Tortilla Wrap & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,349,472,35,22.2,25.5,28.1,48.8,16,20,""
"Italian herb Mackerel with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,492,485,-1,32,33.1,35.5,35.5,24.7,24.9,""
"Indian-spiced Quorn Mince with White Basmati Rice & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,411,412,0,24.8,27.1,40.5,42.7,16.4,15.8,""
"Asian-inspired Cooked Lentils with Bulgur Wheat & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,309,367,19,13.9,16.4,46.6,50.6,7.7,13,""
"Mediterranean Salmon Fillet with Wholewheat Tortilla Wrap & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,532,609,14,40.3,37.6,27,41.6,30.4,32.5,""
"BBQ Lean Beef Mince (5%) with Wholewheat Tortilla Wrap & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,410,565,38,39.9,43,23,32.8,16,27.9,""
"Lemon herb Cod Fillet with Quinoa & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,418,385,-8,38.3,33.7,30,29.6,15.2,15.5,""
"Peri-peri King Prawns with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,281,277,-1,34.7,33.1,17.2,18.5,7,8.8,""
"BBQ Whole Eggs with White Basmati Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,394,398,1,18.3,20.7,30.3,33.2,20.5,20.2,""
"Moroccan-spiced Lamb Leg with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,393,403,3,35.1,36.4,25,25.7,16.2,17.7,""
"Indian-spiced Cottage Cheese with White Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,281,287,2,15.2,16.7,25.1,32.3,12.3,10.4,""
"Indian-spiced Whole Eggs with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,429,432,1,24.3,27.1,22.3,23.1,27.1,27.2,""
"Asian-inspired Lamb Leg with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,440,521,18,36.3,37.9,31.5,37.7,18.7,25.2,""
"Cajun King Prawns with Bulgur Wheat & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,372,353,-5,37.2,33.7,28.3,29.5,13.1,13.8,""
"Mexican-style Tuna Steak with Soba Noodles & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,434,412,-5,44.7,42.6,30.3,30.7,15.4,15,""
"Mexican-style Cod Fillet with Sweet Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,365,360,-1,30.8,26.3,31.2,37,12.9,13.5,""
"Indian-spiced Whole Eggs with Rolled Oats & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,429,428,-0,24.3,26.8,22.3,25,27.1,26,""
"Cajun Turkey Breast with Brown Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,400,381,-5,43.7,38.4,27.3,31.1,11,11.4,""
"Italian herb Cooked Chickpeas with White Basmati Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,471,486,3,15.1,17.7,68.6,73.6,15.4,15.7,""
"Teriyaki Chicken Breast with Brown Rice & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,482,528,10,46.1,47.8,32,40.1,17.7,20,""
"Garlic & chilli Lamb Leg with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,462,484,5,40.7,42.9,25.3,28.3,21,22.5,""
"Indian-spiced Egg Whites with Rolled Oats & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,173,173,0,14.2,16,12.8,12.6,6.3,6.9,""
"Asian-inspired Salmon Fillet with Quinoa & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,319,369,16,28.6,27.2,14.9,15.1,16.1,21.7,""
"Garlic & chilli 0% Greek Yogurt with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,193,268,39,13.9,20.1,18.2,31.3,6.5,7.8,""
"Mediterranean Turkey Breast with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,244,228,-7,30.8,27.6,12.7,15,6.7,7.1,""
"Peri-peri Whole Eggs with Rolled Oats & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,264,245,-7,14.8,15.2,13.8,14,16.2,14.8,""
"Mexican-style 0% Greek Yogurt with Rolled Oats & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,168,174,4,12.9,16.5,17.8,18.3,4.2,5,""
"Lemon herb 0% Greek Yogurt with Rolled Oats & Carrots","20260702000001_seed_owner_meals.sql",apply,2,168,186,11,12.9,14.2,17.8,24.1,4.2,4.4,""
"Italian herb Cottage Cheese with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,231,292,26,15.7,22,17.9,31.9,10,9.3,""
"Teriyaki Cottage Cheese with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,226,246,9,13.5,15.7,19.5,24.5,9.8,10,""
"Mediterranean Whole Eggs with Quinoa & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,301,300,-0,17.2,18.8,17.7,21.7,17.4,16,""
"Teriyaki 0% Greek Yogurt with Sweet Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,167,202,21,13.3,15.3,17.7,22.8,3.8,6,""
"Asian-inspired Egg Whites with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,139,188,35,13.6,17.5,11.1,11,3,8.5,""
"BBQ Cottage Cheese with Sweet Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,215,207,-4,13.5,16.1,21.6,24.8,7.5,5.8,""
"Asian-inspired 0% Greek Yogurt with Sweet Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,187,237,27,12.5,16.4,19.7,19.9,5.9,11.5,""
"BBQ Turkey Breast with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,270,333,23,33.2,35.1,14.6,27.1,7.6,10.1,""
"Teriyaki Turkey Breast with Wholegrain Bread & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,268,360,34,33.7,36.6,14.5,31.1,7.2,10.5,""
"Indian-spiced 0% Greek Yogurt with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,187,210,12,12.5,14.1,19.7,26.2,5.9,6.5,""
"Teriyaki 0% Greek Yogurt with Sweet Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,175,273,56,11.4,17.9,20.3,35.4,5,7.4,""
"Cajun Whole Eggs with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,266,266,0,16.6,19.1,16,19,14.1,13.1,""
"Lemon herb 0% Greek Yogurt with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,193,267,38,13.9,21.4,18.2,30.5,6.5,7.9,""
"Moroccan-spiced Whole Eggs with Quinoa & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,300,290,-3,16.9,19.5,17.7,18.5,17.4,16.3,""
"Asian-inspired Egg Whites with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,188,307,63,13.2,19.1,13.2,25.7,7.9,14.3,""
"Teriyaki Cottage Cheese with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,185,206,11,13.6,15.4,13.8,19.8,7.1,7.3,""
"Cajun 0% Greek Yogurt with Quinoa & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,203,201,-1,14.7,16.2,20.1,21.1,6.4,6.8,""
"Asian-inspired Cottage Cheese with Sweet Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,214,252,18,12.4,15,20.1,22.5,8.9,12.4,""
"Teriyaki Whole Eggs with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,280,310,11,17.7,20,15.7,21.5,15.3,16.1,""
"Cajun Whole Eggs with Quinoa & Peas","20260702000001_seed_owner_meals.sql",apply,2,300,349,16,16.9,22.2,17.7,28.4,17.4,16.5,""
"Asian-inspired Cottage Cheese with Rolled Oats & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,216,260,20,14.3,17.7,15.6,19.4,10,13.5,""
"Garlic & chilli Salmon Fillet with Sweet Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,334,333,-0,27.9,24,16.2,17.8,18.1,18.2,""
"Moroccan-spiced Egg Whites with Quinoa & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,185,182,-2,13.8,15.3,17.9,18.3,5.7,5.9,""
"Mediterranean Cottage Cheese with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,230,306,33,15.3,22.7,18.1,32.8,10,10.6,""
"Lemon herb Cottage Cheese with Rolled Oats & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,207,193,-7,13.9,16.9,17.6,18.8,8.1,6.5,""
"Teriyaki 0% Greek Yogurt with Sweet Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,188,236,26,12.8,16.5,19.7,27.2,5.9,8.2,""
"Peri-peri Egg Whites with Wholegrain Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,184,262,42,15.3,20.7,15.4,30.5,5.9,7.2,""
"Italian herb Turkey Breast with Sweet Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,264,253,-4,31.8,29.5,16.1,16.7,7,8.5,""
"BBQ Edamame with Rolled Oats & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,285,291,2,19,23,29.2,30,10.4,10.9,""
"Lemon herb Chicken Breast with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,382,385,1,45.6,46.7,14.8,17.5,13.3,13.6,""
"Cajun Egg Whites with Bulgur Wheat & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,234,238,2,18.2,21.4,21.7,22.8,7.5,8.1,""
"Asian-inspired Cod Fillet with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,340,349,3,37.9,32.3,25,25.2,8.1,13.4,""
"Mexican-style Cod Fillet with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,295,281,-5,36.1,32.4,16.9,18.2,7.6,9.6,""
"Garlic & chilli Black Beans with Sweet Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,346,345,-0,16.5,17.5,57.6,59.2,5.8,5.9,""
"Teriyaki Paneer with Soba Noodles & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,545,645,18,31.3,36.2,26.7,40.3,36.5,38.4,""
"Teriyaki King Prawns with Couscous & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,325,338,4,39,35.1,27.1,31.6,6,8.4,""
"Asian-inspired Seitan with Couscous & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,418,402,-4,39.8,42.4,44.7,32.3,5.1,10.4,""
"Mexican-style Cooked Chickpeas with White Potato & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,383,388,1,16.1,19.4,59.2,59.4,9.1,9.9,""
"Mexican-style Seitan with Sweet Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,430,425,-1,36.4,42.2,41.6,38.5,9.9,10.6,""
"Lemon herb Haddock Fillet with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,301,370,23,35,35.9,23.5,41.6,5.2,6.7,""
"Garlic & chilli Cottage Cheese with Butter Beans & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,271,250,-8,23.1,22.6,24.5,27.8,8.6,5.8,""
"Garlic & chilli Egg Whites with Bulgur Wheat & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,213,228,7,20.7,22.9,21.9,27.2,3.8,3.9,""
"Cajun Turkey Breast with Wholewheat Tortilla Wrap & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,375,426,14,44.2,41.8,20.2,33,11.2,14,""
"Cajun Lean Beef Mince (5%) with White Basmati Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,438,573,31,42.2,42.2,28.6,37.7,15.5,27,""
"Moroccan-spiced Edamame with Wholewheat Tortilla Wrap & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,355,429,21,19,23.7,34.2,45.2,16.1,18.7,""
"Mexican-style Turkey Breast with Wholegrain Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,351,454,29,45.1,45.4,22,46,7.9,10,""
"Mexican-style Cod Fillet with Wholewheat Pasta & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,332,344,4,37.6,33.2,31,38.8,6.5,7.4,""
"Asian-inspired Quorn Mince with Sweet Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,301,340,13,23.5,27.1,31,30.8,9.3,13.2,""
"Indian-spiced Haddock Fillet with Rolled Oats & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,276,246,-11,32.2,28.9,17.5,17.8,6.6,7.3,""
"Indian-spiced Egg Whites with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,221,229,4,19.3,21.6,17.9,19.8,6.9,7.7,""
"Italian herb Lean Beef Mince (5%) with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,392,502,28,46.6,44.5,19.4,22.9,13.6,24.6,""
"Lemon herb Lamb Leg with White Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,408,419,3,36.8,37.7,19.3,19.9,19.7,21.3,""
"BBQ Cod Fillet with Wholewheat Tortilla Wrap & Kale","20260702000001_seed_owner_meals.sql",apply,2,329,384,17,37.9,35.6,22.4,34.8,8.1,11.7,""
"Italian herb Whole Eggs with White Basmati Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,410,400,-2,22.3,24.8,30.1,32,21.1,19.4,""
"Lemon herb Cooked Chickpeas with Brown Rice & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,415,427,3,16.6,18.5,64.6,69,9.9,10.3,""
"BBQ Salmon Fillet with Wholewheat Tortilla Wrap & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,475,547,15,40.3,37.3,22.3,34.2,25.7,27.9,""
"Italian herb Whole Eggs with Couscous & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,391,381,-3,23.3,24.7,30.4,33,18.7,16.7,""
"BBQ Whole Eggs with Wholewheat Tortilla Wrap & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,381,431,13,24.3,26.2,21.9,32.9,20.8,20.9,""
"Indian-spiced Firm Tofu with Wholegrain Bread & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,364,477,31,28.3,38.3,24.8,43.5,18.4,20.1,""
"Mexican-style Tuna Steak with Wholewheat Tortilla Wrap & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,357,403,13,45.9,42.5,24.4,37.2,7,8.6,""
"Indian-spiced Lamb Leg with Quinoa & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,443,464,5,41.1,44.3,25.1,25.6,19.3,21.6,""
"Mexican-style Edamame with Couscous & Peas","20260702000001_seed_owner_meals.sql",apply,2,354,418,18,21.3,28.5,40.7,50,12.2,13.3,""
"Cajun Chicken Breast with Soba Noodles & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,405,407,0,49.5,53.1,25,25.4,10.7,11.1,""
"Asian-inspired King Prawns with Wholewheat Tortilla Wrap & Kale","20260702000001_seed_owner_meals.sql",apply,2,322,441,37,38.9,38.8,22.6,35.3,7.9,17,""
"Cajun Pork Tenderloin with Sweet Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,343,404,18,40.3,46,22.1,33.2,8.3,9,""
"Teriyaki Lamb Leg with Rye Bread & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,383,565,48,39.6,47.1,18.8,47.3,15.6,21,""
"Peri-peri Cod Fillet with Brown Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,331,309,-7,36.6,32.7,26.9,30.3,6.8,7.3,""
"Garlic & chilli Lamb Leg with Bulgur Wheat & Carrots","20260702000001_seed_owner_meals.sql",apply,2,378,418,11,39.2,40.5,21.1,29.1,14.9,16.5,""
"Indian-spiced Tempeh with Rye Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,434,562,29,31.8,38.1,33.1,55.9,21.7,24.1,""
"BBQ Turkey Breast with White Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,310,270,-13,43.8,37.1,19.7,19.5,4.3,4.4,""
"Mexican-style Lamb Leg with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,400,416,4,38.9,40.2,16.9,17.7,19.3,21.3,""
"Moroccan-spiced Lean Beef Mince (5%) with Soba Noodles & Courgette","20260702000001_seed_owner_meals.sql",apply,2,406,509,25,42.8,42.9,25.6,26.2,14.6,25.9,""
"Cajun Egg Whites with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,224,229,2,17.6,19.8,15.8,17.9,8.5,9.1,""
"Teriyaki Paneer with Brown Rice & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,550,649,18,30.7,35.6,26.9,40.1,35.9,38.3,""
"Indian-spiced Edamame with Wholewheat Tortilla Wrap & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,332,422,27,21.5,27.8,35.6,49.1,11.7,14.8,""
"Indian-spiced Firm Tofu with Wholewheat Tortilla Wrap & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,398,475,19,31.2,34.3,25.4,39.4,20.6,22.9,""
"Asian-inspired Tempeh with Couscous & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,454,498,10,34.4,38,38.3,35.7,20,25.4,""
"Peri-peri Turkey Breast with Wholewheat Pasta & Peas","20260702000001_seed_owner_meals.sql",apply,2,397,456,15,50.4,48.3,30.5,45.8,8.2,9,""
"Peri-peri Cooked Lentils with Butter Beans & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,341,330,-3,22.3,23.4,51.3,50.1,6.1,6.2,""
"BBQ Tuna Steak with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,371,329,-11,50.4,44.6,24.9,24.8,7.2,6,""
"Mediterranean Firm Tofu with Brown Rice & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,382,398,4,30.3,31.6,27.8,35.1,17.6,17.6,""
"Mediterranean Cooked Lentils with Wholewheat Tortilla Wrap & Carrots","20260702000001_seed_owner_meals.sql",apply,2,359,457,27,19.1,22,52.3,71.3,8.1,10.5,""
"Teriyaki Seitan with White Basmati Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,467,450,-4,40.5,43.9,50.2,45.3,7.8,9.9,""
"Italian herb Paneer with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,573,729,27,30.9,42.4,21.1,43,41.3,43,""
